tomb	painted	large	small	contents	rank	natron	lg_fat	sm_fat	lg_beer	sm_beer	dec_fat	rank
Y&T	28.0	52.0		1 not indicated, 27 are wooden dummies; Natron.	2.0	52.0		28.0				1320
Mahirper		13.0	18	Lg.  natron, Sm.  Fatty/oily substance (2 labeled b3kt).	3.0	13.0		18.0				440
K&M	8.0			Fats; Not listed, # not known.	4.0						8.0	240
Hatnofer			1	Not listed.	8.0			1.0				10
Neferkhewet		13.0	4	Not listed, prob. decayed.	9.0			4.0	13.0			66
Hatiay	6.0			Not indicated.	10.05						6.0	180
S&N		1.0		Grain.	12.0				1.0			2
M+		6.0	7	Lg.  brouet de cereale, fatty liquid, fats, Sm.  wax, fats.  Note summary sheet says 6 large and 13 small, but only 7 small listed.	14.0		5.0	4.0	1.0	3.0		195
Nub		10.0	3	Lg.  empty, Sm.  meat, gum, empty.	15.0			2.0	10.0	1.0		41
I+		5.0	16	Lg.  empty, Sm.  fats, resin, brouet de grains, gum, dates.	16.0			12.0	5.0	4.0		134
DeM 1380		4.0	13	Lg.  brouet de grains, Sm.  brouet de grains, gum, fats.  Note, one large and two small pots not described, presum. = # 16, 17, 26.	17.0			2.0	3.0	9.0		35
DeM 1381		7.0	9	Lg.  empty, Sm. mostly empty, 1 gum, 1 sugared substance.	18.0			2.0	7.0	7.0		41
Nu+		4.0	8	Lg.  empty, Sm.  empty, 1 with grapes.	19.0				4.0	8.0		16
SR+		4.0	35	Lg.  empty, Sm.  gum, honey, perf. ointment, beer, fats.	20.0			26.0	4.0	7.0		275
DeM 1389		4.0	28	Lg.  3 empty, 1 brouet de grains, Sm.  fats, seeds.	21.0			15.0	4.0	13.0		171
Amenhotep		5.0	?	Contents not listed.	22.1				5.0			10
Sn Woman		1.0	1	Contents not listed.	22.2			1.0	1.0			12
#78 f			2	Contents not listed, cosmetic = oils, etc.?	30.2			2.0				20
Tomb 37 D		1.0		Contents not listed.	40.0				1.0			2
Tomb 37 E		1.0	1	Contents not listed.	40.0			1.0	1.0			12
#83 3c		3.0	1	Contents not listed.	36.0			1.0	3.0			16
Tutankhamen	1.0	20.0		Various	1.0		20.0				1.0	630
DeM 1372		5.0	6	Lg. empty, 1 amber wax (honey or resin?), Sm. fat, resin, rest empty.	21.1			2.0	5.0	4.0		34
DeM 1373			1	Not indicated (empty?)	21.2					1.0		1
DeM 1374		3.0		2 empty, 1 brouet de grains.	21.3				3.0			6
DeM 1375		2.0	5	Lg. empty, Sm. oil, fat, 2 amber wax (honey or resin?), last not indicated.	21.4			4.0	2.0	1.0		45
DeM 1376		1.0	3	Lg. empty, Sm. 2 graminï¿½es (grass?), 1 oil.	21.5			1.0	1.0	2.0		14
DeM 1377			8	5 empty, 1 oil, 2 grain.	21.6			1.0		7.0		17
DeM 1378		2.0		Not indicated.	21.7				2.0			4
#63a f			2	Contents not listed, cosmetic = oils, etc.?	35.11			2.0				20
#53 m			1	Contents not listed, cosmetic = oils, etc.?	34.5			1.0				10
#59a f			1	Contents not listed, cosmetic = oils, etc.?	34.81			1.0				10
Aahmes			1	Contents not listed, cosmetic = oils, etc.?	29.0			1.0				10
